POWER,3.3V
GND,GND
PWM1,PB0
PWM2,PB1
PWM3,PA3
PWM4,PA2
PWM5,PA1
PWM6,PA8
UART1_TX,PA9
UART1_RX,PA10
BUZZER,PB4
PPM,PB8
CH2,PB9
UART3_RX,PB11
UART3_TX,PB10
CURR,PC1
VBAT,PC2
UART6_TX,PC6
UART6_RX,PC7
USB_DM,PA11
USB_DP,PA12
SWDIO,PA13
SWCLK,PA14
MPU_SPI_CS,PA4
MPU_SPI_CLK,PA5
MPU_SPI_MISO,PA6
MPU_SPI_MOSI,PA7
MPU_INT,PC4
SD_DETECT,PB7
SD_SPI_CS,PB12
SD_SPI_CLK,PB13
SD_SPI_MISO,PB14
SD_SPI_MOSI,PB15
BARO_SPI_CS,PB3
BARO_SPI_CLK,PC10
BARO_SPI_MISO,PC11
BARO_SPI_MOSI,PC12
LED1,PB5
A0,PA0
A1,PA1
A2,PA2
A3,PA3
C8,PC8
C9,PC9
D2,PD2
BOOT1,PB2
D8,PC0
D11,PC3
B6,PB6

